coluna1,coluna2
60001,160001
60002,160002
60003,160003
60004,160004
60005,160005
60006,160006
60007,160007
60008,160008
60009,160009
60010,160010
60011,160011
60012,160012
60013,160013
60014,160014
60015,160015
60016,160016
60017,160017
60018,160018
60019,160019
60020,160020
60021,160021
60022,160022
60023,160023
60024,160024
60025,160025
60026,160026
60027,160027
60028,160028
60029,160029
60030,160030
60031,160031
60032,160032
60033,160033
60034,160034
60035,160035
60036,160036
60037,160037
60038,160038
60039,160039
60040,160040
60041,160041
60042,160042
60043,160043
60044,160044
60045,160045
60046,160046
60047,160047
60048,160048
60049,160049
60050,160050
60051,160051
60052,160052
60053,160053
60054,160054
60055,160055
60056,160056
60057,160057
60058,160058
60059,160059
60060,160060
60061,160061
60062,160062
60063,160063
60064,160064
60065,160065
60066,160066
60067,160067
60068,160068
60069,160069
60070,160070
60071,160071
60072,160072
60073,160073
60074,160074
60075,160075
60076,160076
60077,160077
60078,160078
60079,160079
60080,160080
60081,160081
60082,160082
60083,160083
60084,160084
60085,160085
60086,160086
60087,160087
60088,160088
60089,160089
60090,160090
60091,160091
60092,160092
60093,160093
60094,160094
60095,160095
60096,160096
60097,160097
60098,160098
60099,160099
60100,160100
60101,160101
60102,160102
60103,160103
60104,160104
60105,160105
60106,160106
60107,160107
60108,160108
60109,160109
60110,160110
60111,160111
60112,160112
60113,160113
60114,160114
60115,160115
60116,160116
60117,160117
60118,160118
60119,160119
60120,160120
60121,160121
60122,160122
60123,160123
60124,160124
60125,160125
60126,160126
60127,160127
60128,160128
60129,160129
60130,160130
60131,160131
60132,160132
60133,160133
60134,160134
60135,160135
60136,160136
60137,160137
60138,160138
60139,160139
60140,160140
60141,160141
60142,160142
60143,160143
60144,160144
60145,160145
60146,160146
60147,160147
60148,160148
60149,160149
60150,160150
60151,160151
60152,160152
60153,160153
60154,160154
60155,160155
60156,160156
60157,160157
60158,160158
60159,160159
60160,160160
60161,160161
60162,160162
60163,160163
60164,160164
60165,160165
60166,160166
60167,160167
60168,160168
60169,160169
60170,160170
60171,160171
60172,160172
60173,160173
60174,160174
60175,160175
60176,160176
60177,160177
60178,160178
60179,160179
60180,160180
60181,160181
60182,160182
60183,160183
60184,160184
60185,160185
60186,160186
60187,160187
60188,160188
60189,160189
60190,160190
60191,160191
60192,160192
60193,160193
60194,160194
60195,160195
60196,160196
60197,160197
60198,160198
60199,160199
60200,160200
60201,160201
60202,160202
60203,160203
60204,160204
60205,160205
60206,160206
60207,160207
60208,160208
60209,160209
60210,160210
60211,160211
60212,160212
60213,160213
60214,160214
60215,160215
60216,160216
60217,160217
60218,160218
60219,160219
60220,160220
60221,160221
60222,160222
60223,160223
60224,160224
60225,160225
60226,160226
60227,160227
60228,160228
60229,160229
60230,160230
60231,160231
60232,160232
60233,160233
60234,160234
60235,160235
60236,160236
60237,160237
60238,160238
60239,160239
60240,160240
60241,160241
60242,160242
60243,160243
60244,160244
60245,160245
60246,160246
60247,160247
60248,160248
60249,160249
60250,160250
60251,160251
60252,160252
60253,160253
60254,160254
60255,160255
60256,160256
60257,160257
60258,160258
60259,160259
60260,160260
60261,160261
60262,160262
60263,160263
60264,160264
60265,160265
60266,160266
60267,160267
60268,160268
60269,160269
60270,160270
60271,160271
60272,160272
60273,160273
60274,160274
60275,160275
60276,160276
60277,160277
60278,160278
60279,160279
60280,160280
60281,160281
60282,160282
60283,160283
60284,160284
60285,160285
60286,160286
60287,160287
60288,160288
60289,160289
60290,160290
60291,160291
60292,160292
60293,160293
60294,160294
60295,160295
60296,160296
60297,160297
60298,160298
60299,160299
60300,160300
60301,160301
60302,160302
60303,160303
60304,160304
60305,160305
60306,160306
60307,160307
60308,160308
60309,160309
60310,160310
60311,160311
60312,160312
60313,160313
60314,160314
60315,160315
60316,160316
60317,160317
60318,160318
60319,160319
60320,160320
60321,160321
60322,160322
60323,160323
60324,160324
60325,160325
60326,160326
60327,160327
60328,160328
60329,160329
60330,160330
