coluna1,coluna2
20001,120001
20002,120002
20003,120003
20004,120004
20005,120005
20006,120006
20007,120007
20008,120008
20009,120009
20010,120010
20011,120011
20012,120012
20013,120013
20014,120014
20015,120015
20016,120016
20017,120017
20018,120018
20019,120019
20020,120020
20021,120021
20022,120022
20023,120023
20024,120024
20025,120025
20026,120026
20027,120027
20028,120028
20029,120029
20030,120030
20031,120031
20032,120032
20033,120033
20034,120034
20035,120035
20036,120036
20037,120037
20038,120038
20039,120039
20040,120040
20041,120041
20042,120042
20043,120043
20044,120044
20045,120045
20046,120046
20047,120047
20048,120048
20049,120049
20050,120050
20051,120051
20052,120052
20053,120053
20054,120054
20055,120055
20056,120056
20057,120057
20058,120058
20059,120059
20060,120060
20061,120061
20062,120062
20063,120063
20064,120064
20065,120065
20066,120066
20067,120067
20068,120068
20069,120069
20070,120070
20071,120071
20072,120072
20073,120073
20074,120074
20075,120075
20076,120076
20077,120077
20078,120078
20079,120079
20080,120080
20081,120081
20082,120082
20083,120083
20084,120084
20085,120085
20086,120086
20087,120087
20088,120088
20089,120089
20090,120090
20091,120091
20092,120092
20093,120093
20094,120094
20095,120095
20096,120096
20097,120097
20098,120098
20099,120099
20100,120100
20101,120101
20102,120102
20103,120103
20104,120104
20105,120105
20106,120106
20107,120107
20108,120108
20109,120109
20110,120110
20111,120111
20112,120112
20113,120113
20114,120114
20115,120115
20116,120116
20117,120117
20118,120118
20119,120119
20120,120120
20121,120121
20122,120122
20123,120123
20124,120124
20125,120125
20126,120126
20127,120127
20128,120128
20129,120129
20130,120130
20131,120131
20132,120132
20133,120133
20134,120134
20135,120135
20136,120136
20137,120137
20138,120138
20139,120139
20140,120140
20141,120141
20142,120142
20143,120143
20144,120144
20145,120145
20146,120146
20147,120147
20148,120148
20149,120149
20150,120150
20151,120151
20152,120152
20153,120153
20154,120154
20155,120155
20156,120156
20157,120157
20158,120158
20159,120159
20160,120160
20161,120161
20162,120162
20163,120163
20164,120164
20165,120165
20166,120166
20167,120167
20168,120168
20169,120169
20170,120170
20171,120171
20172,120172
20173,120173
20174,120174
20175,120175
20176,120176
20177,120177
20178,120178
20179,120179
20180,120180
20181,120181
20182,120182
20183,120183
20184,120184
20185,120185
20186,120186
20187,120187
20188,120188
20189,120189
20190,120190
20191,120191
20192,120192
20193,120193
20194,120194
20195,120195
20196,120196
20197,120197
20198,120198
20199,120199
20200,120200
20201,120201
20202,120202
20203,120203
20204,120204
20205,120205
20206,120206
20207,120207
20208,120208
20209,120209
20210,120210
20211,120211
20212,120212
20213,120213
20214,120214
20215,120215
20216,120216
20217,120217
20218,120218
20219,120219
20220,120220
20221,120221
20222,120222
20223,120223
20224,120224
20225,120225
20226,120226
20227,120227
20228,120228
20229,120229
20230,120230
20231,120231
20232,120232
20233,120233
20234,120234
20235,120235
20236,120236
20237,120237
20238,120238
20239,120239
20240,120240
20241,120241
20242,120242
20243,120243
20244,120244
20245,120245
20246,120246
20247,120247
20248,120248
20249,120249
20250,120250
20251,120251
20252,120252
20253,120253
20254,120254
20255,120255
20256,120256
20257,120257
20258,120258
20259,120259
20260,120260
20261,120261
20262,120262
20263,120263
20264,120264
20265,120265
20266,120266
20267,120267
20268,120268
20269,120269
20270,120270
20271,120271
20272,120272
20273,120273
20274,120274
20275,120275
20276,120276
20277,120277
20278,120278
20279,120279
20280,120280
20281,120281
20282,120282
20283,120283
20284,120284
20285,120285
20286,120286
20287,120287
20288,120288
20289,120289
20290,120290
20291,120291
20292,120292
20293,120293
20294,120294
20295,120295
20296,120296
20297,120297
20298,120298
20299,120299
20300,120300
20301,120301
20302,120302
20303,120303
20304,120304
20305,120305
20306,120306
20307,120307
20308,120308
20309,120309
20310,120310
20311,120311
20312,120312
20313,120313
20314,120314
20315,120315
20316,120316
20317,120317
20318,120318
20319,120319
20320,120320
20321,120321
20322,120322
20323,120323
20324,120324
20325,120325
20326,120326
20327,120327
20328,120328
20329,120329
20330,120330
20331,120331
20332,120332
20333,120333
20334,120334
20335,120335
20336,120336
20337,120337
20338,120338
20339,120339
20340,120340
20341,120341
20342,120342
20343,120343
20344,120344
20345,120345
20346,120346
20347,120347
20348,120348
20349,120349
20350,120350
20351,120351
20352,120352
20353,120353
20354,120354
20355,120355
20356,120356
20357,120357
20358,120358
20359,120359
20360,120360
20361,120361
20362,120362
20363,120363
20364,120364
20365,120365
20366,120366
20367,120367
20368,120368
20369,120369
20370,120370
20371,120371
20372,120372
20373,120373
20374,120374
20375,120375
20376,120376
20377,120377
20378,120378
20379,120379
20380,120380
20381,120381
20382,120382
20383,120383
20384,120384
20385,120385
20386,120386
20387,120387
20388,120388
20389,120389
20390,120390
20391,120391
20392,120392
20393,120393
20394,120394
20395,120395
20396,120396
