coluna1,coluna2
80001,180001
80002,180002
80003,180003
80004,180004
80005,180005
80006,180006
80007,180007
80008,180008
80009,180009
80010,180010
80011,180011
80012,180012
80013,180013
80014,180014
80015,180015
80016,180016
80017,180017
80018,180018
80019,180019
80020,180020
80021,180021
80022,180022
80023,180023
80024,180024
80025,180025
80026,180026
80027,180027
80028,180028
80029,180029
80030,180030
80031,180031
80032,180032
80033,180033
80034,180034
80035,180035
80036,180036
80037,180037
80038,180038
80039,180039
80040,180040
80041,180041
80042,180042
80043,180043
80044,180044
80045,180045
80046,180046
80047,180047
80048,180048
80049,180049
80050,180050
80051,180051
80052,180052
80053,180053
80054,180054
80055,180055
80056,180056
80057,180057
80058,180058
80059,180059
80060,180060
80061,180061
80062,180062
80063,180063
80064,180064
80065,180065
80066,180066
80067,180067
80068,180068
80069,180069
80070,180070
80071,180071
80072,180072
80073,180073
80074,180074
80075,180075
80076,180076
80077,180077
80078,180078
80079,180079
80080,180080
80081,180081
80082,180082
80083,180083
80084,180084
80085,180085
80086,180086
80087,180087
80088,180088
80089,180089
80090,180090
80091,180091
80092,180092
80093,180093
80094,180094
80095,180095
80096,180096
80097,180097
80098,180098
80099,180099
80100,180100
80101,180101
80102,180102
80103,180103
80104,180104
80105,180105
80106,180106
80107,180107
80108,180108
80109,180109
80110,180110
80111,180111
80112,180112
80113,180113
80114,180114
80115,180115
80116,180116
80117,180117
80118,180118
80119,180119
80120,180120
80121,180121
80122,180122
80123,180123
80124,180124
80125,180125
80126,180126
80127,180127
80128,180128
80129,180129
80130,180130
80131,180131
80132,180132
80133,180133
80134,180134
80135,180135
80136,180136
80137,180137
80138,180138
80139,180139
80140,180140
80141,180141
80142,180142
80143,180143
80144,180144
80145,180145
80146,180146
80147,180147
80148,180148
80149,180149
80150,180150
80151,180151
80152,180152
80153,180153
80154,180154
80155,180155
80156,180156
80157,180157
80158,180158
80159,180159
80160,180160
80161,180161
80162,180162
80163,180163
80164,180164
80165,180165
80166,180166
80167,180167
80168,180168
80169,180169
80170,180170
80171,180171
80172,180172
80173,180173
80174,180174
80175,180175
80176,180176
80177,180177
80178,180178
80179,180179
80180,180180
80181,180181
80182,180182
80183,180183
80184,180184
80185,180185
80186,180186
80187,180187
80188,180188
80189,180189
80190,180190
80191,180191
80192,180192
80193,180193
80194,180194
80195,180195
80196,180196
80197,180197
80198,180198
80199,180199
80200,180200
80201,180201
80202,180202
80203,180203
80204,180204
80205,180205
80206,180206
80207,180207
80208,180208
80209,180209
80210,180210
80211,180211
80212,180212
80213,180213
80214,180214
80215,180215
80216,180216
80217,180217
80218,180218
80219,180219
80220,180220
80221,180221
80222,180222
80223,180223
80224,180224
80225,180225
80226,180226
80227,180227
80228,180228
80229,180229
80230,180230
80231,180231
80232,180232
80233,180233
80234,180234
80235,180235
80236,180236
80237,180237
80238,180238
80239,180239
80240,180240
80241,180241
80242,180242
80243,180243
80244,180244
80245,180245
80246,180246
80247,180247
80248,180248
80249,180249
80250,180250
80251,180251
80252,180252
80253,180253
80254,180254
80255,180255
80256,180256
80257,180257
80258,180258
80259,180259
80260,180260
80261,180261
80262,180262
80263,180263
80264,180264
80265,180265
80266,180266
80267,180267
80268,180268
80269,180269
80270,180270
80271,180271
80272,180272
80273,180273
80274,180274
80275,180275
80276,180276
80277,180277
80278,180278
80279,180279
80280,180280
80281,180281
80282,180282
80283,180283
80284,180284
80285,180285
80286,180286
80287,180287
80288,180288
80289,180289
80290,180290
80291,180291
80292,180292
80293,180293
80294,180294
80295,180295
80296,180296
80297,180297
80298,180298
80299,180299
80300,180300
80301,180301
80302,180302
80303,180303
80304,180304
80305,180305
80306,180306
80307,180307
80308,180308
80309,180309
80310,180310
80311,180311
80312,180312
80313,180313
80314,180314
80315,180315
80316,180316
80317,180317
80318,180318
80319,180319
80320,180320
80321,180321
80322,180322
80323,180323
80324,180324
80325,180325
80326,180326
80327,180327
80328,180328
80329,180329
80330,180330
80331,180331
80332,180332
80333,180333
80334,180334
80335,180335
80336,180336
80337,180337
80338,180338
80339,180339
80340,180340
80341,180341
80342,180342
80343,180343
80344,180344
80345,180345
80346,180346
80347,180347
80348,180348
80349,180349
80350,180350
80351,180351
80352,180352
80353,180353
80354,180354
80355,180355
80356,180356
80357,180357
80358,180358
80359,180359
80360,180360
80361,180361
80362,180362
80363,180363
80364,180364
80365,180365
80366,180366
80367,180367
80368,180368
80369,180369
80370,180370
80371,180371
80372,180372
80373,180373
80374,180374
80375,180375
80376,180376
80377,180377
80378,180378
80379,180379
80380,180380
80381,180381
80382,180382
80383,180383
80384,180384
80385,180385
80386,180386
80387,180387
80388,180388
80389,180389
80390,180390
80391,180391
80392,180392
80393,180393
80394,180394
80395,180395
80396,180396
80397,180397
80398,180398
80399,180399
80400,180400
80401,180401
80402,180402
80403,180403
80404,180404
80405,180405
80406,180406
80407,180407
80408,180408
80409,180409
80410,180410
80411,180411
80412,180412
80413,180413
80414,180414
80415,180415
80416,180416
80417,180417
80418,180418
80419,180419
80420,180420
80421,180421
80422,180422
80423,180423
80424,180424
80425,180425
80426,180426
80427,180427
80428,180428
80429,180429
80430,180430
80431,180431
80432,180432
80433,180433
80434,180434
80435,180435
80436,180436
80437,180437
80438,180438
80439,180439
80440,180440
80441,180441
80442,180442
80443,180443
80444,180444
80445,180445
80446,180446
80447,180447
80448,180448
80449,180449
80450,180450
80451,180451
80452,180452
80453,180453
80454,180454
80455,180455
80456,180456
80457,180457
80458,180458
80459,180459
80460,180460
80461,180461
80462,180462
80463,180463
80464,180464
80465,180465
80466,180466
80467,180467
80468,180468
80469,180469
80470,180470
80471,180471
80472,180472
80473,180473
80474,180474
80475,180475
80476,180476
80477,180477
80478,180478
80479,180479
80480,180480
80481,180481
80482,180482
80483,180483
80484,180484
80485,180485
80486,180486
80487,180487
80488,180488
80489,180489
80490,180490
80491,180491
80492,180492
80493,180493
80494,180494
80495,180495
80496,180496
80497,180497
80498,180498
80499,180499
80500,180500
80501,180501
80502,180502
80503,180503
80504,180504
80505,180505
80506,180506
80507,180507
80508,180508
80509,180509
80510,180510
80511,180511
80512,180512
80513,180513
80514,180514
80515,180515
80516,180516
80517,180517
80518,180518
80519,180519
80520,180520
80521,180521
80522,180522
80523,180523
80524,180524
80525,180525
80526,180526
80527,180527
80528,180528
80529,180529
80530,180530
80531,180531
80532,180532
80533,180533
80534,180534
80535,180535
80536,180536
80537,180537
80538,180538
80539,180539
80540,180540
80541,180541
80542,180542
80543,180543
80544,180544
80545,180545
80546,180546
80547,180547
80548,180548
80549,180549
80550,180550
80551,180551
80552,180552
80553,180553
80554,180554
80555,180555
80556,180556
