coluna1,coluna2
40001,140001
40002,140002
40003,140003
40004,140004
40005,140005
40006,140006
40007,140007
40008,140008
40009,140009
40010,140010
40011,140011
40012,140012
40013,140013
40014,140014
40015,140015
40016,140016
40017,140017
40018,140018
40019,140019
40020,140020
40021,140021
40022,140022
40023,140023
40024,140024
40025,140025
40026,140026
40027,140027
40028,140028
40029,140029
40030,140030
40031,140031
40032,140032
40033,140033
40034,140034
40035,140035
40036,140036
40037,140037
40038,140038
40039,140039
40040,140040
40041,140041
40042,140042
40043,140043
40044,140044
40045,140045
40046,140046
40047,140047
40048,140048
40049,140049
40050,140050
40051,140051
40052,140052
40053,140053
40054,140054
40055,140055
40056,140056
40057,140057
40058,140058
40059,140059
40060,140060
40061,140061
40062,140062
40063,140063
40064,140064
40065,140065
40066,140066
40067,140067
40068,140068
40069,140069
40070,140070
40071,140071
40072,140072
40073,140073
40074,140074
40075,140075
40076,140076
40077,140077
40078,140078
40079,140079
40080,140080
40081,140081
40082,140082
40083,140083
40084,140084
40085,140085
40086,140086
40087,140087
40088,140088
40089,140089
40090,140090
40091,140091
40092,140092
40093,140093
40094,140094
40095,140095
40096,140096
40097,140097
40098,140098
40099,140099
40100,140100
40101,140101
40102,140102
40103,140103
40104,140104
40105,140105
40106,140106
40107,140107
40108,140108
40109,140109
40110,140110
40111,140111
40112,140112
40113,140113
40114,140114
40115,140115
40116,140116
40117,140117
40118,140118
40119,140119
40120,140120
40121,140121
40122,140122
40123,140123
40124,140124
40125,140125
40126,140126
40127,140127
40128,140128
40129,140129
40130,140130
40131,140131
40132,140132
40133,140133
40134,140134
40135,140135
40136,140136
40137,140137
40138,140138
40139,140139
40140,140140
40141,140141
40142,140142
40143,140143
40144,140144
40145,140145
40146,140146
40147,140147
40148,140148
40149,140149
40150,140150
40151,140151
40152,140152
40153,140153
40154,140154
40155,140155
40156,140156
40157,140157
40158,140158
40159,140159
40160,140160
40161,140161
40162,140162
40163,140163
40164,140164
40165,140165
40166,140166
40167,140167
40168,140168
40169,140169
40170,140170
40171,140171
40172,140172
40173,140173
40174,140174
40175,140175
40176,140176
40177,140177
40178,140178
40179,140179
40180,140180
40181,140181
40182,140182
40183,140183
40184,140184
40185,140185
40186,140186
40187,140187
40188,140188
40189,140189
40190,140190
40191,140191
40192,140192
40193,140193
40194,140194
40195,140195
40196,140196
40197,140197
40198,140198
40199,140199
40200,140200
40201,140201
40202,140202
40203,140203
40204,140204
40205,140205
40206,140206
40207,140207
40208,140208
40209,140209
40210,140210
40211,140211
40212,140212
40213,140213
40214,140214
40215,140215
40216,140216
40217,140217
40218,140218
40219,140219
40220,140220
40221,140221
40222,140222
40223,140223
40224,140224
40225,140225
40226,140226
40227,140227
40228,140228
40229,140229
40230,140230
40231,140231
40232,140232
40233,140233
40234,140234
40235,140235
40236,140236
40237,140237
40238,140238
40239,140239
40240,140240
40241,140241
40242,140242
40243,140243
40244,140244
40245,140245
40246,140246
40247,140247
40248,140248
40249,140249
40250,140250
40251,140251
40252,140252
40253,140253
40254,140254
40255,140255
40256,140256
40257,140257
40258,140258
40259,140259
40260,140260
40261,140261
40262,140262
40263,140263
40264,140264
40265,140265
40266,140266
40267,140267
40268,140268
40269,140269
40270,140270
40271,140271
40272,140272
40273,140273
40274,140274
40275,140275
40276,140276
40277,140277
40278,140278
40279,140279
40280,140280
40281,140281
40282,140282
40283,140283
40284,140284
40285,140285
40286,140286
40287,140287
40288,140288
40289,140289
40290,140290
40291,140291
40292,140292
40293,140293
40294,140294
40295,140295
40296,140296
40297,140297
40298,140298
40299,140299
40300,140300
40301,140301
40302,140302
40303,140303
40304,140304
40305,140305
40306,140306
40307,140307
40308,140308
40309,140309
40310,140310
40311,140311
40312,140312
40313,140313
40314,140314
40315,140315
40316,140316
40317,140317
40318,140318
40319,140319
40320,140320
40321,140321
40322,140322
40323,140323
40324,140324
40325,140325
40326,140326
40327,140327
40328,140328
40329,140329
40330,140330
40331,140331
40332,140332
40333,140333
40334,140334
40335,140335
40336,140336
40337,140337
40338,140338
40339,140339
40340,140340
40341,140341
40342,140342
40343,140343
40344,140344
40345,140345
40346,140346
40347,140347
40348,140348
40349,140349
40350,140350
40351,140351
40352,140352
40353,140353
40354,140354
40355,140355
40356,140356
40357,140357
40358,140358
40359,140359
40360,140360
40361,140361
40362,140362
40363,140363
40364,140364
40365,140365
40366,140366
40367,140367
40368,140368
40369,140369
40370,140370
40371,140371
40372,140372
40373,140373
40374,140374
40375,140375
40376,140376
40377,140377
40378,140378
40379,140379
40380,140380
40381,140381
40382,140382
40383,140383
40384,140384
40385,140385
40386,140386
40387,140387
40388,140388
40389,140389
40390,140390
40391,140391
40392,140392
40393,140393
40394,140394
40395,140395
40396,140396
40397,140397
40398,140398
40399,140399
40400,140400
40401,140401
40402,140402
40403,140403
40404,140404
40405,140405
40406,140406
40407,140407
40408,140408
40409,140409
40410,140410
40411,140411
40412,140412
40413,140413
40414,140414
40415,140415
40416,140416
40417,140417
40418,140418
40419,140419
40420,140420
40421,140421
40422,140422
40423,140423
40424,140424
40425,140425
40426,140426
40427,140427
40428,140428
40429,140429
40430,140430
40431,140431
40432,140432
40433,140433
40434,140434
40435,140435
40436,140436
40437,140437
40438,140438
40439,140439
40440,140440
40441,140441
40442,140442
40443,140443
40444,140444
40445,140445
40446,140446
40447,140447
40448,140448
40449,140449
40450,140450
40451,140451
40452,140452
40453,140453
40454,140454
40455,140455
40456,140456
40457,140457
40458,140458
40459,140459
40460,140460
40461,140461
40462,140462
40463,140463
40464,140464
40465,140465
40466,140466
40467,140467
40468,140468
40469,140469
40470,140470
40471,140471
40472,140472
40473,140473
40474,140474
40475,140475
40476,140476
40477,140477
40478,140478
40479,140479
40480,140480
40481,140481
40482,140482
40483,140483
40484,140484
40485,140485
40486,140486
40487,140487
40488,140488
40489,140489
40490,140490
40491,140491
40492,140492
40493,140493
40494,140494
40495,140495
40496,140496
40497,140497
40498,140498
40499,140499
40500,140500
40501,140501
40502,140502
40503,140503
40504,140504
40505,140505
40506,140506
40507,140507
40508,140508
40509,140509
40510,140510
40511,140511
40512,140512
40513,140513
40514,140514
40515,140515
40516,140516
40517,140517
40518,140518
40519,140519
40520,140520
40521,140521
40522,140522
40523,140523
40524,140524
40525,140525
40526,140526
40527,140527
40528,140528
40529,140529
40530,140530
40531,140531
40532,140532
40533,140533
40534,140534
40535,140535
40536,140536
40537,140537
40538,140538
40539,140539
40540,140540
40541,140541
40542,140542
40543,140543
40544,140544
40545,140545
40546,140546
40547,140547
40548,140548
40549,140549
40550,140550
40551,140551
40552,140552
40553,140553
40554,140554
40555,140555
40556,140556
40557,140557
40558,140558
40559,140559
40560,140560
40561,140561
40562,140562
40563,140563
40564,140564
40565,140565
40566,140566
40567,140567
40568,140568
40569,140569
40570,140570
40571,140571
40572,140572
40573,140573
40574,140574
40575,140575
40576,140576
40577,140577
40578,140578
40579,140579
40580,140580
40581,140581
40582,140582
40583,140583
40584,140584
40585,140585
40586,140586
40587,140587
40588,140588
40589,140589
40590,140590
40591,140591
40592,140592
40593,140593
40594,140594
40595,140595
40596,140596
40597,140597
40598,140598
40599,140599
40600,140600
40601,140601
40602,140602
40603,140603
40604,140604
40605,140605
40606,140606
40607,140607
40608,140608
40609,140609
40610,140610
40611,140611
40612,140612
40613,140613
40614,140614
40615,140615
40616,140616
40617,140617
40618,140618
40619,140619
40620,140620
40621,140621
40622,140622
40623,140623
40624,140624
40625,140625
40626,140626
40627,140627
40628,140628
40629,140629
40630,140630
40631,140631
40632,140632
40633,140633
40634,140634
40635,140635
40636,140636
40637,140637
40638,140638
40639,140639
40640,140640
40641,140641
40642,140642
40643,140643
40644,140644
40645,140645
40646,140646
40647,140647
40648,140648
40649,140649
40650,140650
40651,140651
40652,140652
40653,140653
40654,140654
40655,140655
40656,140656
40657,140657
40658,140658
40659,140659
40660,140660
40661,140661
40662,140662
40663,140663
40664,140664
40665,140665
40666,140666
40667,140667
40668,140668
40669,140669
40670,140670
40671,140671
40672,140672
40673,140673
40674,140674
40675,140675
40676,140676
40677,140677
40678,140678
40679,140679
40680,140680
40681,140681
40682,140682
40683,140683
40684,140684
40685,140685
40686,140686
40687,140687
40688,140688
40689,140689
40690,140690
40691,140691
40692,140692
40693,140693
40694,140694
40695,140695
40696,140696
40697,140697
40698,140698
40699,140699
40700,140700
40701,140701
40702,140702
40703,140703
40704,140704
40705,140705
40706,140706
40707,140707
40708,140708
40709,140709
40710,140710
40711,140711
40712,140712
40713,140713
40714,140714
40715,140715
40716,140716
40717,140717
40718,140718
40719,140719
40720,140720
40721,140721
40722,140722
40723,140723
40724,140724
40725,140725
40726,140726
40727,140727
40728,140728
40729,140729
40730,140730
40731,140731
40732,140732
40733,140733
40734,140734
40735,140735
40736,140736
40737,140737
40738,140738
40739,140739
40740,140740
40741,140741
40742,140742
40743,140743
40744,140744
40745,140745
40746,140746
40747,140747
40748,140748
40749,140749
40750,140750
40751,140751
40752,140752
40753,140753
40754,140754
40755,140755
40756,140756
40757,140757
40758,140758
40759,140759
40760,140760
40761,140761
40762,140762
40763,140763
40764,140764
40765,140765
40766,140766
40767,140767
40768,140768
40769,140769
40770,140770
40771,140771
40772,140772
40773,140773
40774,140774
40775,140775
40776,140776
40777,140777
40778,140778
40779,140779
40780,140780
40781,140781
40782,140782
40783,140783
40784,140784
40785,140785
40786,140786
40787,140787
40788,140788
40789,140789
40790,140790
40791,140791
40792,140792
40793,140793
40794,140794
40795,140795
40796,140796
40797,140797
40798,140798
40799,140799
40800,140800
40801,140801
40802,140802
40803,140803
40804,140804
40805,140805
40806,140806
40807,140807
40808,140808
40809,140809
40810,140810
40811,140811
40812,140812
40813,140813
40814,140814
40815,140815
40816,140816
40817,140817
40818,140818
40819,140819
40820,140820
40821,140821
40822,140822
40823,140823
40824,140824
40825,140825
40826,140826
40827,140827
40828,140828
40829,140829
40830,140830
40831,140831
40832,140832
40833,140833
40834,140834
40835,140835
40836,140836
40837,140837
40838,140838
40839,140839
40840,140840
40841,140841
40842,140842
40843,140843
40844,140844
40845,140845
40846,140846
40847,140847
40848,140848
40849,140849
40850,140850
40851,140851
40852,140852
40853,140853
40854,140854
40855,140855
40856,140856
40857,140857
40858,140858
40859,140859
40860,140860
40861,140861
40862,140862
40863,140863
40864,140864
40865,140865
40866,140866
40867,140867
40868,140868
40869,140869
40870,140870
40871,140871
40872,140872
40873,140873
40874,140874
40875,140875
40876,140876
40877,140877
40878,140878
40879,140879
40880,140880
40881,140881
40882,140882
40883,140883
40884,140884
40885,140885
40886,140886
40887,140887
40888,140888
40889,140889
40890,140890
40891,140891
40892,140892
40893,140893
40894,140894
40895,140895
40896,140896
40897,140897
40898,140898
40899,140899
40900,140900
40901,140901
40902,140902
40903,140903
40904,140904
40905,140905
40906,140906
40907,140907
40908,140908
40909,140909
40910,140910
